epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2156.4,0.48083,0.36892,0.95584,0.95623,0.93158,0.96547,0.88912,0.47324,0.43727,0.94632,0.000660045,0.000660045,0.000660045
43,2207.61,0.46955,0.36299,0.95261,0.93277,0.94114,0.96054,0.88009,0.48354,0.46979,0.94891,0.000649046,0.000649046,0.000649046
44,2259.22,0.46368,0.35114,0.94136,0.92371,0.94234,0.96127,0.88549,0.48153,0.42548,0.95204,0.000638047,0.000638047,0.000638047
45,2310.7,0.46744,0.36569,0.94854,0.94755,0.94084,0.96314,0.89115,0.46139,0.40065,0.93539,0.000627048,0.000627048,0.000627048
46,2361.8,0.45468,0.34342,0.9378,0.97104,0.92368,0.96627,0.89258,0.46401,0.39446,0.95021,0.000616049,0.000616049,0.000616049
47,2413.11,0.44757,0.34272,0.94311,0.95895,0.94412,0.9638,0.89403,0.46226,0.42142,0.94744,0.000605051,0.000605051,0.000605051
48,2464.28,0.43821,0.34492,0.93265,0.941,0.9377,0.9627,0.89541,0.45659,0.44022,0.93635,0.000594052,0.000594052,0.000594052
49,2515.22,0.43924,0.34466,0.93779,0.95576,0.93967,0.95893,0.89653,0.44864,0.39502,0.9369,0.000583053,0.000583053,0.000583053
50,2566.38,0.43388,0.33572,0.93237,0.94146,0.93358,0.96033,0.89164,0.44211,0.42659,0.92274,0.000572054,0.000572054,0.000572054
51,2617.78,0.45703,0.36158,0.94305,0.95311,0.92135,0.95016,0.88418,0.45474,0.41417,0.93095,0.000561055,0.000561055,0.000561055
52,2669.14,0.43733,0.33165,0.93046,0.95757,0.92295,0.95565,0.89533,0.45526,0.43335,0.94694,0.000550056,0.000550056,0.000550056
53,2720.08,0.42739,0.32708,0.92949,0.9474,0.92131,0.96162,0.89802,0.45309,0.413,0.94753,0.000539057,0.000539057,0.000539057
54,2771.37,0.42333,0.32459,0.92386,0.96656,0.91298,0.9657,0.89982,0.46922,0.41091,0.96235,0.000528058,0.000528058,0.000528058
55,2822.41,0.41845,0.31481,0.92151,0.96328,0.93092,0.96639,0.90552,0.45044,0.38928,0.93838,0.000517059,0.000517059,0.000517059
56,2873.61,0.41115,0.31538,0.91308,0.95837,0.93033,0.96289,0.90365,0.46519,0.42181,0.94145,0.00050606,0.00050606,0.00050606
57,2924.61,0.4031,0.30287,0.91535,0.97134,0.9269,0.95934,0.90191,0.42252,0.44127,0.91726,0.000495062,0.000495062,0.000495062
58,2975.92,0.40054,0.31148,0.91446,0.95279,0.9264,0.9625,0.90178,0.43972,0.42327,0.92456,0.000484063,0.000484063,0.000484063
59,3027.32,0.40421,0.29587,0.90989,0.97182,0.92586,0.96544,0.90667,0.43344,0.40815,0.92629,0.000473064,0.000473064,0.000473064
60,3078.48,0.40198,0.29435,0.9135,0.96823,0.93835,0.96522,0.90829,0.44528,0.3608,0.94699,0.000462065,0.000462065,0.000462065
61,3129.72,0.38359,0.29803,0.9067,0.95296,0.94594,0.96208,0.90501,0.4351,0.39513,0.93404,0.000451066,0.000451066,0.000451066
62,3180.84,0.38928,0.29074,0.90811,0.96847,0.92019,0.9601,0.90057,0.41999,0.41329,0.93086,0.000440067,0.000440067,0.000440067
63,3231.68,0.38866,0.28632,0.91048,0.97829,0.918,0.96527,0.90865,0.43727,0.3869,0.95062,0.000429068,0.000429068,0.000429068
64,3282.9,0.38501,0.28802,0.91055,0.95422,0.93224,0.95632,0.89903,0.43793,0.38287,0.94618,0.000418069,0.000418069,0.000418069
65,3334.36,0.37918,0.28403,0.90699,0.92839,0.93617,0.95282,0.89733,0.41611,0.41268,0.91575,0.00040707,0.00040707,0.00040707
66,3385.76,0.3707,0.28436,0.89453,0.96005,0.9365,0.96043,0.9049,0.39816,0.43339,0.91153,0.000396071,0.000396071,0.000396071
67,3436.93,0.39325,0.29337,0.91089,0.96435,0.93431,0.96176,0.90518,0.40336,0.37096,0.9259,0.000385073,0.000385073,0.000385073
68,3488.02,0.38163,0.28073,0.90364,0.97141,0.93768,0.96715,0.91738,0.38707,0.35724,0.89691,0.000374074,0.000374074,0.000374074
69,3539.25,0.36675,0.26882,0.89529,0.96275,0.94945,0.96618,0.91496,0.39722,0.3488,0.90556,0.000363075,0.000363075,0.000363075
70,3590.04,0.35358,0.26833,0.89514,0.96164,0.94241,0.96851,0.92077,0.37433,0.32526,0.89486,0.000352076,0.000352076,0.000352076
71,3641.4,0.36033,0.25998,0.89817,0.95001,0.9376,0.95533,0.91026,0.37739,0.38036,0.89652,0.000341077,0.000341077,0.000341077
72,3692.84,0.36043,0.25944,0.8984,0.97375,0.92335,0.96217,0.90974,0.38191,0.35373,0.8987,0.000330078,0.000330078,0.000330078
73,3744.21,0.3695,0.2738,0.89803,0.96747,0.9347,0.96345,0.91503,0.3648,0.35765,0.89348,0.000319079,0.000319079,0.000319079
74,3795.33,0.34524,0.25465,0.88676,0.96952,0.93065,0.96382,0.91929,0.35434,0.35955,0.88574,0.00030808,0.00030808,0.00030808
75,3846.42,0.34333,0.25229,0.89263,0.97204,0.92778,0.96412,0.91889,0.3585,0.35877,0.88647,0.000297081,0.000297081,0.000297081
76,3897.44,0.34394,0.25167,0.89673,0.96639,0.93272,0.96104,0.91996,0.35704,0.38048,0.89111,0.000286083,0.000286083,0.000286083
77,3948.49,0.34136,0.25488,0.88914,0.97329,0.92461,0.96181,0.92058,0.35597,0.38667,0.8889,0.000275084,0.000275084,0.000275084
78,3999.61,0.33563,0.24493,0.88908,0.97358,0.91428,0.96306,0.91815,0.36867,0.39393,0.89483,0.000264085,0.000264085,0.000264085
79,4051.25,0.33422,0.24232,0.88299,0.96437,0.9293,0.96248,0.92077,0.36782,0.38729,0.89767,0.000253086,0.000253086,0.000253086
80,4102.68,0.32611,0.23478,0.88147,0.96625,0.93607,0.96066,0.91841,0.35743,0.36617,0.88763,0.000242087,0.000242087,0.000242087
81,4154.09,0.33428,0.23872,0.87465,0.95866,0.94327,0.95884,0.91782,0.35342,0.37383,0.88452,0.000231088,0.000231088,0.000231088
82,4205.23,0.32649,0.2357,0.88218,0.96656,0.93486,0.96337,0.92238,0.35042,0.36474,0.88265,0.000220089,0.000220089,0.000220089
83,4256.42,0.32189,0.2336,0.87786,0.97332,0.94134,0.96757,0.92528,0.35476,0.3602,0.88702,0.00020909,0.00020909,0.00020909
84,4307.58,0.31713,0.22309,0.86702,0.97061,0.93716,0.96239,0.92235,0.34611,0.35796,0.88455,0.000198091,0.000198091,0.000198091
85,4358.65,0.31245,0.23448,0.88081,0.96753,0.94063,0.96249,0.9252,0.32264,0.35789,0.87321,0.000187092,0.000187092,0.000187092
